name,desc,price,img
Hyundai Elantra,"2017 г., 2 л., автомат, седан, бензин, руль слева, 104 000 км",$ 11 300,https://im.mashina.kg/tachka/images//2/c/1/2c1d69156da83e55312f62e295515475_240x180.jpg
Toyota RAV4,"2019 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 50 000 км",$ 23 500,https://im.mashina.kg/tachka/images//3/9/8/398d07fc7aea7d62e211bece538e23d1_240x180.jpg
Subaru Forester,"2003 г., 2 л., автомат, универсал, бензин, руль справа, 217 000 км",$ 9 700,https://im.mashina.kg/tachka/images//f/7/4/f744e33a5da51e9fb8206890e2e07b69_240x180.jpg
Honda CR-V,"2017 г., 1.5 л., вариатор, внедорожник 5 дв., бензин, руль слева, 60 000 км",$ 24 500,https://im.mashina.kg/tachka/images//8/9/b/89b048126737adcfe95682d7c57fff8a_240x180.jpg
Toyota Land Cruiser,"2016 г., 4.6 л., автомат, внедорожник 5 дв., бензин, руль слева, 172 000 км",$ 69 000,https://im.mashina.kg/tachka/images//e/a/d/eadcd1d817eb34e74c4dc0e6b606f9ca_240x180.jpg
Toyota Camry,"2017 г., 2.5 л., автомат, седан, бензин, руль слева, 72 600 км",$ 22 000,https://im.mashina.kg/tachka/images//e/6/1/e61a6777fd8fda7b616e2610bc1b4fd2_240x180.jpg
Kia Sorento,"2017 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 23 000 км",$ 32 500,https://im.mashina.kg/tachka/images//0/7/4/074d71a267d890cd40eab4fbf9b1784d_240x180.jpg
BMW 7 серии,"2018 г., 2 л., автомат, седан, бензин, руль слева, 30 600 км",$ 41 000,https://im.mashina.kg/tachka/images//c/a/6/ca6d47b0591f517603a0632d547875d6_240x180.jpg
Kia Sportage,"2022 г., 1.6 л., робот, внедорожник 5 дв., бензин, руль слева, 50 км",$ 44 400,https://im.mashina.kg/tachka/images//5/c/2/5c21ced8291bef43615bfb3cb3357799_240x180.jpg
Toyota RAV4,"2016 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 62 800 км",$ 18 500,https://im.mashina.kg/tachka/images//3/d/6/3d68d1342955ded6b32c2ffc20cacbed_240x180.jpg
Land Rover Range Rover,"2018 г., 4.4 л., автомат, внедорожник 5 дв., дизель, руль слева, 95 000 км",$ 92 000,https://im.mashina.kg/tachka/images//2/9/9/299de77cd33bee55bba1192b0f7b7d0c_240x180.jpg
Toyota RAV4,"2020 г., 2.5 л., автомат, внедорожник 5 дв., гибрид, руль слева, 40 000 км",$ 35 000,https://im.mashina.kg/tachka/images//5/9/1/591e05020c65df9da8fd73ff220edd1c_240x180.jpg
Mercedes-Benz S-класс,"2005 г., 5.5 л., автомат, седан, бензин, руль слева, 178 000 км",$ 13 900,https://im.mashina.kg/tachka/images//2/d/e/2de5c514f3d01b257fda5107b508a6c6_240x180.jpg
Kia K7,"2014 г., 3 л., автомат, седан, бензин, руль слева, 128 000 км",$ 15 500,https://im.mashina.kg/tachka/images//b/b/b/bbb7ceeb7fb10f862df484330678c49c_240x180.jpg
Subaru Forester,"2007 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 177 888 км",$ 9 300,https://im.mashina.kg/tachka/images//5/2/f/52f741b81f817271e4d425f62e9464e2_240x180.jpg
Toyota Land Cruiser Prado,"2013 г., 2.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 200 000 км",$ 25 200,https://im.mashina.kg/tachka/images//c/e/7/ce7ef02716c2ed09c8c6d847488131a3_240x180.jpg
